sale_id,product_id,customer_id,rep_id,quantity,sale_date,discount_pct,total_value_usd
SALE00057,PROD013,CUST0005,REP015,54,2024-08-13,0.27,2920.79
SALE00058,PROD012,CUST0045,REP013,64,2024-10-16,0.12,823.1
SALE00059,PROD012,CUST0001,REP004,100,2024-10-24,0.13,961.84
SALE00060,PROD012,CUST0034,REP015,7,2025-02-11,0.17,4595.6
SALE00061,PROD002,CUST0030,REP005,60,2025-03-19,0.2,4940.67
SALE00062,PROD010,CUST0021,REP015,79,2024-09-08,0.24,4470.9
SALE00063,PROD007,CUST0036,REP015,21,2024-12-25,0.22,2425.9
SALE00064,PROD005,CUST0049,REP008,82,2024-10-22,0.08,3910.61
SALE00065,PROD008,CUST0041,REP008,36,2024-08-29,0.13,
SALE00066,PROD012,CUST0019,REP008,35,,0.1,4475.83
SALE00067,PROD002,CUST0009,REP005,30,2024-11-23,0.11,848.75
SALE00068,PROD004,CUST0005,REP014,53,2024-10-23,0.1,2383.03
SALE00069,PROD001,CUST0014,REP014,50,2024-10-13,0.27,2961.99
SALE00070,PROD012,CUST0002,REP019,49,2025-04-03,0.14,4719.43
SALE00071,PROD005,CUST0049,REP013,54,2025-03-18,0.16,3699.71
SALE00072,PROD013,CUST0039,REP008,63,2025-02-22,0.07,2235.6
SALE00073,PROD001,CUST0025,REP011,86,2024-12-29,0.2,2081.15
SALE00074,PROD003,CUST0030,REP005,80,2025-01-31,0.16,4543.95
SALE00075,PROD010,CUST0037,REP001,11,2025-04-21,0.19,764.93
SALE00076,PROD008,CUST0012,REP002,34,2024-09-24,0.11,1137.14
SALE00077,PROD006,CUST0022,REP013,36,,0.23,4176.43
SALE00078,PROD005,CUST0006,REP016,3,2024-10-26,0.22,
SALE00079,PROD001,CUST0023,REP008,84,2024-11-15,0.02,4790.7
SALE00080,PROD001,CUST0049,REP001,32,2024-10-08,0.06,199.86
SALE00081,PROD003,CUST0016,REP005,61,2025-05-05,0.2,2863.45
SALE00082,PROD004,CUST0030,REP009,99,2025-04-23,0.11,3068.87
SALE00083,PROD012,CUST0046,REP004,100,2024-11-21,0.25,4827.13
SALE00084,PROD002,CUST0038,REP001,40,2024-11-10,0.17,4549.33
SALE00085,PROD007,CUST0026,REP007,10,2024-08-05,0.18,4169.8
SALE00086,PROD004,CUST0007,REP010,88,2025-06-18,0.18,693.17
SALE00087,PROD010,CUST0003,REP012,69,2025-01-26,0.13,1915.8
SALE00088,PROD009,CUST0042,REP011,2,,0.25,4129.42
SALE00089,PROD002,CUST0028,REP012,82,2024-09-07,0.27,2352.72
SALE00090,PROD003,CUST0028,REP006,94,2025-02-06,0.16,3287.24
SALE00091,PROD010,CUST0035,REP016,60,2025-01-19,0.13,
SALE00092,PROD012,CUST0038,REP009,42,2024-08-30,0.26,4170.58
SALE00093,PROD002,CUST0018,REP015,32,2025-03-13,0.23,2892.26
SALE00094,PROD011,CUST0025,REP011,4,2025-04-16,0.15,1692.57
SALE00095,PROD008,CUST0014,REP012,34,2025-01-21,0.1,4413.57
SALE00096,PROD012,CUST0018,REP018,2,2024-07-02,0.15,1036.18
SALE00097,PROD004,CUST0047,REP014,63,2025-03-31,0.17,1277.59
SALE00098,PROD008,CUST0042,REP016,58,2024-12-18,0.24,555.96
SALE00099,PROD004,CUST0026,REP008,40,,0.2,1908.2
SALE00100,PROD009,CUST0034,REP012,55,2025-03-24,0.3,2796.9
SALE00101,PROD006,CUST0045,REP015,35,2024-09-11,0.09,1229.64
SALE00102,PROD012,CUST0013,REP011,16,2024-12-09,0.22,4759.3
SALE00103,PROD012,CUST0012,REP007,28,2025-04-27,0.22,1454.85
SALE00104,PROD010,CUST0049,REP017,77,2024-10-13,0.08,
SALE00105,PROD002,CUST0013,REP010,30,2025-05-10,0.11,1581.11
SALE00106,PROD012,CUST0035,REP005,36,2025-03-18,0.01,367.18
SALE00107,PROD005,CUST0045,REP005,82,2024-07-18,0.26,2505.31
SALE00108,PROD014,CUST0001,REP019,37,2025-05-06,0.14,2258.3
SALE00109,PROD003,CUST0004,REP009,62,2025-05-17,0.03,420.18
SALE00110,PROD008,CUST0005,REP019,81,,0.21,843.46
SALE00111,PROD013,CUST0037,REP010,11,2025-04-27,0.3,680.41
SALE00112,PROD013,CUST0027,REP020,77,2025-04-26,0.24,1205.87
SALE00113,PROD009,CUST0025,REP015,57,2024-11-27,0.09,2983.77
SALE00114,PROD007,CUST0020,REP019,80,2025-03-10,0.02,4804.53
SALE00115,PROD002,CUST0049,REP007,81,2025-01-01,0.06,3336.1
SALE00116,PROD003,CUST0016,REP006,71,2024-08-15,0.02,113.11
SALE00117,PROD008,CUST0045,REP020,61,2025-02-22,0.09,
SALE00118,PROD004,CUST0019,REP010,90,2024-10-17,0.26,448.78
SALE00119,PROD004,CUST0017,REP019,85,2024-09-23,0.24,1069.31
SALE00120,PROD002,CUST0035,REP008,83,2024-09-28,0.04,1401.6
SALE00121,PROD003,CUST0005,REP002,22,,0.24,3015.72
SALE00122,PROD014,CUST0037,REP010,57,2025-03-04,0.04,3474.52
SALE00123,PROD012,CUST0026,REP009,65,2024-08-20,0.16,2245.02
SALE00124,PROD010,CUST0003,REP014,95,2025-03-26,0.1,1326.8
SALE00125,PROD002,CUST0015,REP019,76,2024-12-03,0.29,4997.9
SALE00126,PROD011,CUST0018,REP019,6,2025-04-24,0.23,958.43
SALE00127,PROD009,CUST0042,REP015,36,2024-11-15,0.05,2968.12
SALE00128,PROD011,CUST0032,REP003,61,2024-07-20,0.1,1733.21
SALE00129,PROD011,CUST0007,REP006,43,2024-12-13,0.12,2527.8
SALE00130,PROD011,CUST0026,REP018,5,2025-02-09,0.14,
SALE00131,PROD006,CUST0017,REP011,15,2024-12-25,0.29,2080.46
SALE00132,PROD009,CUST0001,REP018,60,,0.12,1019.15
SALE00133,PROD006,CUST0040,REP016,81,2025-02-03,0.13,352.9
SALE00134,PROD005,CUST0036,REP005,37,2024-11-24,0.13,3521.43
SALE00135,PROD002,CUST0002,REP020,31,2025-01-15,0.21,1622.68
SALE00136,PROD001,CUST0036,REP014,12,2025-01-04,0.07,4222.89
SALE00137,PROD002,CUST0030,REP004,83,2025-06-15,0.25,2542.04
SALE00138,PROD012,CUST0019,REP017,91,2025-06-14,0.08,4190.15
SALE00139,PROD008,CUST0016,REP015,71,2025-05-25,0.04,1033.99
SALE00140,PROD010,CUST0033,REP005,9,2025-03-17,0.08,3971.03
SALE00141,PROD007,CUST0022,REP017,35,2024-12-01,0.25,1485.91
SALE00142,PROD005,CUST0038,REP019,85,2025-01-19,0.15,828.12
SALE00143,PROD009,CUST0031,REP012,43,,0.17,
SALE00144,PROD009,CUST0025,REP015,42,2024-07-06,0.26,4905.8
SALE00145,PROD004,CUST0037,REP013,30,2025-04-25,0.26,2112.8
SALE00146,PROD006,CUST0048,REP016,91,2024-11-08,0.27,1968.03
SALE00147,PROD011,CUST0042,REP005,64,2025-03-21,0.29,718.61
SALE00148,PROD010,CUST0022,REP004,57,2025-06-04,0.03,4561.16
SALE00149,PROD001,CUST0047,REP005,53,2025-05-03,0.26,4852.79
SALE00150,PROD002,CUST0031,REP009,44,2025-01-16,0.19,2047.67
SALE00151,PROD002,CUST0022,REP018,49,2025-02-07,0.29,3171.32
SALE00152,PROD015,CUST0049,REP016,70,2025-02-24,0.01,435.26
SALE00153,PROD011,CUST0044,REP010,30,2025-06-12,0.22,2226.46
SALE00154,PROD002,CUST0049,REP004,57,,0.05,1567.38
SALE00155,PROD001,CUST0003,REP011,8,2024-07-25,0.09,1936.72
SALE00156,PROD003,CUST0016,REP017,53,2024-08-03,0.17,
SALE00157,PROD013,CUST0012,REP006,23,2025-04-16,0.02,4367.11
SALE00158,PROD010,CUST0044,REP008,64,2024-09-26,0.27,801.28
SALE00159,PROD008,CUST0041,REP009,59,2025-03-04,0.08,146.05
SALE00160,PROD013,CUST0030,REP010,87,2025-03-07,0.16,461.92
SALE00161,PROD006,CUST0038,REP010,82,2024-11-06,0.29,3482.54
SALE00162,PROD008,CUST0020,REP007,50,2024-08-25,0.26,622.6
SALE00163,PROD007,CUST0037,REP012,74,2025-02-28,0.09,3526.47
SALE00164,PROD001,CUST0043,REP013,36,2025-02-14,0.0,4338.83
SALE00165,PROD013,CUST0048,REP002,78,,0.22,4180.91
SALE00166,PROD015,CUST0019,REP008,78,2024-07-09,0.24,1173.12
SALE00167,PROD004,CUST0040,REP009,87,2025-01-26,0.23,3860.61
SALE00168,PROD011,CUST0009,REP004,81,2025-02-27,0.19,1613.77
SALE00169,PROD008,CUST0003,REP019,47,2025-03-12,0.22,
SALE00170,PROD002,CUST0019,REP011,96,2025-02-28,0.12,1083.89
SALE00171,PROD013,CUST0035,REP012,68,2024-11-24,0.15,1435.38
SALE00172,PROD003,CUST0017,REP016,38,2025-04-10,0.22,1759.7
SALE00173,PROD002,CUST0030,REP003,19,2024-10-28,0.23,1205.51
SALE00174,PROD011,CUST0047,REP013,72,2025-04-27,0.11,3974.34
SALE00175,PROD001,CUST0017,REP018,16,2024-12-06,0.14,3396.86
SALE00176,PROD011,CUST0017,REP019,49,,0.25,4707.43
SALE00177,PROD002,CUST0044,REP008,61,2024-08-02,0.01,4432.75
SALE00178,PROD009,CUST0021,REP020,29,2024-06-26,0.19,3213.48
SALE00179,PROD008,CUST0045,REP010,84,2024-07-30,0.12,784.91
SALE00180,PROD001,CUST0020,REP016,15,2024-09-30,0.03,4447.57
SALE00181,PROD003,CUST0025,REP015,48,2024-09-16,0.2,3741.39
SALE00182,PROD009,CUST0027,REP019,96,2025-01-06,0.22,
SALE00183,PROD015,CUST0027,REP004,63,2025-04-08,0.18,4701.36
SALE00184,PROD005,CUST0003,REP012,28,2025-01-09,0.13,4757.72
SALE00185,PROD014,CUST0024,REP004,88,2025-01-24,0.11,4518.31
SALE00186,PROD011,CUST0023,REP002,51,2025-02-02,0.08,4844.21
SALE00187,PROD014,CUST0030,REP003,85,,0.06,3233.52
SALE00188,PROD001,CUST0004,REP011,32,2025-03-16,0.3,3956.19
SALE00189,PROD004,CUST0005,REP018,27,2025-01-31,0.18,4083.96
SALE00190,PROD004,CUST0022,REP005,77,2024-09-15,0.0,4306.19
SALE00191,PROD003,CUST0009,REP018,33,2024-12-12,0.24,638.64
SALE00192,PROD014,CUST0002,REP005,2,2024-11-14,0.11,3963.31
SALE00193,PROD010,CUST0021,REP001,23,2024-11-20,0.08,721.12
SALE00194,PROD007,CUST0034,REP004,96,2024-12-18,0.02,2296.55
SALE00195,PROD006,CUST0033,REP019,14,2025-04-17,0.14,
SALE00196,PROD004,CUST0040,REP002,94,2025-03-12,0.23,4348.21
SALE00197,PROD009,CUST0020,REP015,83,2025-02-05,0.29,398.04
SALE00198,PROD008,CUST0026,REP014,88,,0.03,3590.77
SALE00199,PROD008,CUST0005,REP003,42,2025-03-17,0.18,421.84
